"","header","cite","chamber_senate","judges_names","judge1","judge2","judge3","link_decision"
"16","Beschluss vom 18. Juni 2019 - 1 BvR 587/17","BVerfG, Beschluss des Ersten Senats vom 18. Juni 2019 
- 1 BvR 587/17 -, Rn. (1-41),http://www.bverfg.de/e/rs20190618_1bvr058717.html","
                                 hat das Bundesverfassungsgericht - Erster Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Vizepräsident Harbarth,  Masing,  Paulus,  Baer,  Britz,  Ott,  Christ,  Radtke ","Vizepräsident Harbarth, ","Masing, ","Paulus, ","http://www.bverfg.de/e/rs20190618_1bvr058717.html"
"17","Beschluss vom 14. Juni 2019 - 1 BvR 2433/17","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 14. Juni 2019 
- 1 BvR 2433/17 -, Rn. (1-23),http://www.bverfg.de/e/rk20190614_1bvr243317.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190614_1bvr243317.html"
"18","Beschluss vom 13. Juni 2019 - 1 BvR 1235/17","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 13. Juni 2019 
- 1 BvR 1235/17 -, Rn. (1-8),http://www.bverfg.de/e/rk20190613_1bvr123517.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190613_1bvr123517.html"
"19","Beschluss vom 11. Juni 2019 - 2 BvR 834/19","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 11. Juni 2019 
- 2 BvR 834/19 -, Rn. (1-6),http://www.bverfg.de/e/rk20190611_2bvr083419.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/rk20190611_2bvr083419.html"
"20","Beschluss vom 04. Juni 2019 - 1 BvR 1011/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 04. Juni 2019 
- 1 BvR 1011/19 -, Rn. (1-7),http://www.bverfg.de/e/rk20190604_1bvr101119.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190604_1bvr101119.html"
"21","Beschluss vom 03. Juni 2019 - 2 BvR 910/19","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 03. Juni 2019 
- 2 BvR 910/19 -, Rn. (1-19),http://www.bverfg.de/e/rk20190603_2bvr091019.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190603_2bvr091019.html"
"22","Beschluss vom 03. Juni 2019 - 2 BvR 229/19","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 03. Juni 2019 
- 2 BvR 229/19 -, Rn. (1-8),http://www.bverfg.de/e/rk20190603_2bvr022919.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190603_2bvr022919.html"
"23","Beschluss vom 29. Mai 2019 - 2 BvR 217/19","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 29. Mai 2019 
- 2 BvR 217/19 -, Rn. (1-14),http://www.bverfg.de/e/rk20190529_2bvr021719.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190529_2bvr021719.html"
"24","Beschluss vom 29. Mai 2019 - 2 BvR 2630/18","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 29. Mai 2019 
- 2 BvR 2630/18 -, Rn. (1-30),http://www.bverfg.de/e/rk20190529_2bvr263018.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190529_2bvr263018.html"
"25","Beschluss vom 28. Mai 2019 - 1 BvR 876/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 28. Mai 2019 
- 1 BvR 876/19 -, Rn. (1-5),http://www.bverfg.de/e/rk20190528_1bvr087619.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190528_1bvr087619.html"
"26","Beschluss vom 28. Mai 2019 - 1 BvR 2833/16","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 28. Mai 2019 
- 1 BvR 2833/16 -, Rn. (1-35),http://www.bverfg.de/e/rk20190528_1bvr283316.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190528_1bvr283316.html"
"27","Beschluss vom 28. Mai 2019 - 1 BvR 2403/16","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 28. Mai 2019 
- 1 BvR 2403/16 -, Rn. (1-7),http://www.bverfg.de/e/rk20190528_1bvr240316.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Harbarth,  die Richterin Britz  und den Richter Radtke ","den Vizepräsidenten Harbarth, ","die Richterin Britz ","und den Richter Radtke ","http://www.bverfg.de/e/rk20190528_1bvr240316.html"
"28","Beschluss vom 24. Mai 2019 - 2 BvR 2710/18","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 24. Mai 2019 
- 2 BvR 2710/18 -, Rn. (1-5),http://www.bverfg.de/e/rk20190524_2bvr271018.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190524_2bvr271018.html"
"29","Beschluss vom 24. Mai 2019 - 1 BvQ 45/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 24. Mai 2019 
- 1 BvQ 45/19 -, Rn. (1-19),http://www.bverfg.de/e/qk20190524_1bvq004519.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/qk20190524_1bvq004519.html"
"30","Beschluss vom 24. Mai 2019 - 1 BvQ 46/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 24. Mai 2019 
- 1 BvQ 46/19 -, Rn. (1-4),http://www.bverfg.de/e/qk20190524_1bvq004619.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/qk20190524_1bvq004619.html"
"31","Beschluss vom 23. Mai 2019 - 1 BvR 1724/18","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 23. Mai 2019 
- 1 BvR 1724/18 -, Rn. (1-41),http://www.bverfg.de/e/rk20190523_1bvr172418.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Harbarth  und die Richterinnen Baer,  Ott ","den Vizepräsidenten Harbarth ","und die Richterinnen Baer, ","Ott ","http://www.bverfg.de/e/rk20190523_1bvr172418.html"
"32","Beschluss vom 22. Mai 2019 - 1 BvQ 42/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 22. Mai 2019 
- 1 BvQ 42/19 -, Rn. (1-25),http://www.bverfg.de/e/qk20190522_1bvq004219.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/qk20190522_1bvq004219.html"
"33","Beschluss vom 22. Mai 2019 - 2 BvQ 9/19","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 22. Mai 2019 
- 2 BvQ 9/19 -, Rn. (1-1),http://www.bverfg.de/e/qk20190522_2bvq000919.html","
                                hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/qk20190522_2bvq000919.html"
"34","Beschluss vom 22. Mai 2019 - 2 BvR 750/19","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 22. Mai 2019 
- 2 BvR 750/19 -, Rn. (1-7),http://www.bverfg.de/e/rk20190522_2bvr075019.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/rk20190522_2bvr075019.html"
"35","Beschluss vom 20. Mai 2019 - 2 BvR 649/19","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 20. Mai 2019 
- 2 BvR 649/19 -, Rn. (1-13),http://www.bverfg.de/e/rk20190520_2bvr064919.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/rk20190520_2bvr064919.html"
"36","Beschluss vom 20. Mai 2019 - 2 BvC 3/18","BVerfG, Beschluss des Zweiten Senats vom 20. Mai 2019 
- 2 BvC 3/18 -, Rn. (1-4),http://www.bverfg.de/e/cs20190520_2bvc000318.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/cs20190520_2bvc000318.html"
"37","Beschluss vom 15. Mai 2019 - 2 BvR 2425/18","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 15. Mai 2019 
- 2 BvR 2425/18 -, Rn. (1-31),http://www.bverfg.de/e/rk20190515_2bvr242518.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","die Richterin Hermanns,  den Richter Müller  und die Richterin Langenfeld ","die Richterin Hermanns, ","den Richter Müller ","und die Richterin Langenfeld ","http://www.bverfg.de/e/rk20190515_2bvr242518.html"
"38","Beschluss vom 15. Mai 2019 - 1 BvQ 43/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 15. Mai 2019 
- 1 BvQ 43/19 -, Rn. (1-13),http://www.bverfg.de/e/qk20190515_1bvq004319.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/qk20190515_1bvq004319.html"
"39","Beschluss vom 09. Mai 2019 - 2 BvC 20/19","BVerfG, Beschluss des Zweiten Senats vom 09. Mai 2019 
- 2 BvC 20/19 -, Rn. (1-1),http://www.bverfg.de/e/cs20190509_2bvc002019.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/cs20190509_2bvc002019.html"
"40","Beschluss vom 08. Mai 2019 - 2 BvR 657/19","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 08. Mai 2019 
- 2 BvR 657/19 -, Rn. (1-45),http://www.bverfg.de/e/rk20190508_2bvr065719.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/rk20190508_2bvr065719.html"
"41","Beschluss vom 06. Mai 2019 - 2 BvR 1429/16","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 06. Mai 2019 
- 2 BvR 1429/16 -, Rn. (1-17),http://www.bverfg.de/e/rk20190506_2bvr142916.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190506_2bvr142916.html"
"42","Beschluss vom 27. April 2019 - 1 BvQ 36/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 27. April 2019 
- 1 BvQ 36/19 -, Rn. (1-3),http://www.bverfg.de/e/qk20190427_1bvq003619.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/qk20190427_1bvq003619.html"
"43","Beschluss vom 26. April 2019 - 2 BvC 26/19","BVerfG, Beschluss des Zweiten Senats vom 26. April 2019 
- 2 BvC 26/19 -, Rn. (1-7),http://www.bverfg.de/e/cs20190426_2bvc002619.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/cs20190426_2bvc002619.html"
"44","Beschluss vom 25. April 2019 - 2 BvQ 45/18","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 25. April 2019 
- 2 BvQ 45/18 -, Rn. (1-8),http://www.bverfg.de/e/qk20190425_2bvq004518.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/qk20190425_2bvq004518.html"
"45","Beschluss vom 25. April 2019 - 2 BvR 1728/16","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 25. April 2019 
- 2 BvR 1728/16 -, Rn. (1-11),http://www.bverfg.de/e/rk20190425_2bvr172816.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190425_2bvr172816.html"
"46","Beschluss vom 17. April 2019 - 1 BvR 180/17","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 17. April 2019 
- 1 BvR 180/17 -, Rn. (1-1),http://www.bverfg.de/e/rk20190417_1bvr018017.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190417_1bvr018017.html"
"47","Beschluss vom 16. April 2019 - 1 BvR 30/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 16. April 2019 
- 1 BvR 30/19 -, Rn. (1-4),http://www.bverfg.de/e/rk20190416_1bvr003019.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190416_1bvr003019.html"
"48","Beschluss vom 15. April 2019 - 1 BvR 2909/17","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 15. April 2019 
- 1 BvR 2909/17 -, Rn. (1-8),http://www.bverfg.de/e/rk20190415_1bvr290917.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190415_1bvr290917.html"
"49","Beschluss vom 15. April 2019 - 1 BvR 1811/17","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 15. April 2019 
- 1 BvR 1811/17 -, Rn. (1-8),http://www.bverfg.de/e/rk20190415_1bvr181117.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/rk20190415_1bvr181117.html"
"50","Urteil vom 15. April 2019 - 2 BvQ 22/19","BVerfG, Urteil des Zweiten Senats vom 15. April 2019 - 2 BvQ 22/19,http://www.bverfg.de/e/qs20190415_2bvq002219.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/qs20190415_2bvq002219.html"
"51","Urteil vom 15. April 2019 - 2 BvQ 22/19","BVerfG, Urteil des Zweiten Senats vom 15. April 2019 
- 2 BvQ 22/19 -, Rn. (1-53),http://www.bverfg.de/e/qs20190415a_2bvq002219.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/qs20190415a_2bvq002219.html"
"52","Beschluss vom 10. April 2019 - 2 BvR 10/19","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 10. April 2019 
- 2 BvR 10/19 -, Rn. (1-1),http://www.bverfg.de/e/rk20190410_2bvr001019.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/rk20190410_2bvr001019.html"
